# Rg Avg-P(Rg) Err
10.432 0.17191362895051837 0.11265978243763604
10.456 0.19373774518801587 0.13270915187346852
10.48 0.21837051254232712 0.15523255359166674
10.504 0.24563005113726302 0.1799835742890025
10.528 0.2751169280256845 0.20650400121458518
10.552 0.3062145313630812 0.23412757419073227
10.576 0.33811083029888117 0.2620046313706897
10.6 0.3698359093263645 0.2891403150864547
10.624 0.40030984179304535 0.31444028254975254
10.648 0.42839808812473085 0.3367616054045136
10.672 0.4529746646152003 0.3549703670264111
10.696 0.47299467778612553 0.36800902968824273
10.72 0.48757618338968056 0.3749747143505784
10.744 0.496086844496642 0.3752045120871988
10.768 0.4982250286719254 0.3683576563385766
10.792 0.49408020970624494 0.3544793965266828
10.816 0.4841564182302115 0.3340301535390964
10.84 0.46934679548004565 0.30786741695825176
10.864 0.4508569263836598 0.2771765485284832
10.888 0.4300869989011833 0.24335793237520226
10.912 0.408493614607201 0.2078882052818063
10.936 0.38745701279597816 0.17217922877078862
10.96 0.3681765143286138 0.13745855095602688
10.984 0.35160732556957486 0.10469122010650873
11.008000000000001 0.3384392850128871 0.07456303731894677
11.032 0.3291073869313338 0.04758577668821885
11.056000000000001 0.32381865441220625 0.02478517933966779
11.08 0.32258147392965136 0.014080158016389245
11.104000000000001 0.32523033257167056 0.026402369243220963
11.128 0.33144724037715717 0.043516936571333174
11.152000000000001 0.3407865689057573 0.06049963711260467
11.176 0.35270977212566557 0.07702194605118401
11.200000000000001 0.36663084568937415 0.09317782910432944
11.224 0.38196582518773803 0.10906058964780264
11.248 0.39817456261093537 0.12470427212869994
11.272 0.41478339431626443 0.1400853081843003
11.296 0.43138313441310955 0.15512734648401436
11.32 0.4476055500800188 0.16969486245054913
11.344 0.4630895367653203 0.18357856745206463
11.368 0.4774525536829402 0.19648449315457314
11.392 0.4902818141612986 0.20804019748310149
11.416 0.5011532593203984 0.21782645972675152
11.44 0.5096762760774084 0.22543317477453811
11.464 0.5155517976493581 0.2305275549188423
11.488 0.5186248134106124 0.23291554413952573
11.512 0.5189124276787253 0.23257697296665847
11.536 0.5165959758645514 0.2296623116361181
11.56 0.5119778379399063 0.2244515524335548
11.584 0.5054158507833713 0.21728893052983494
11.608 0.4972557955172377 0.20851555457362633
11.632 0.4877824096781668 0.19842211535027315
11.656 0.4772019761173635 0.18723571553241758
11.68 0.46565796172968055 0.17514206496833276
11.704 0.45327005966885625 0.1623321470084754
11.728 0.4401803217590867 0.1490554660257447
11.752 0.4265895884467734 0.1356616477295494
11.776 0.4127722753080002 0.12261654924342659
11.8 0.3990652522560105 0.11048416021544345
11.824 0.3858343329690026 0.09986839536642184
11.848 0.3734278137519598 0.09131196509767125
11.872 0.362129497717818 0.08516478728510522
11.896 0.35212326036930497 0.08147098579001122
11.92 0.34347754457382446 0.0799500926363971
11.944 0.3361521230768032 0.08010189641081361
11.968 0.33002290618463154 0.08136844984864469
11.992 0.32491582843964617 0.08325752878084908
12.016 0.32063963522864425 0.08539098754327615
12.040000000000001 0.3170098862440406 0.08749984087163032
12.064 0.313861249615235 0.08939980237028161
12.088000000000001 0.31104991831983336 0.09096735381232912
12.112 0.30845082571595867 0.09212237304160475
12.136000000000001 0.30595450951744435 0.09281646470528604
12.16 0.3034664757111758 0.09302475173495159
12.184000000000001 0.30090904769601556 0.09273985934937347
12.208 0.2982233831993636 0.09196800746668042
12.232000000000001 0.2953686010029079 0.09072758264605167
12.256 0.2923160295809864 0.08905020177225476
12.28 0.28903893244491013 0.08698341919506525
12.304 0.2855006064572902 0.08459326601214807
12.328 0.28164534721664325 0.08196418430395436
12.352 0.27739669288377466 0.0791941629998161
12.376 0.27266549796898415 0.07638443068329279
12.4 0.2673672352247892 0.07362572132790957
12.424 0.26144437014413546 0.07098565676061
12.448 0.254886884979601 0.06850233279462896
12.472 0.2477433443417473 0.06618680627765615
12.496 0.24011719322066888 0.06403310992032185
12.52 0.23214801190939044 0.0620313582154521
12.544 0.2239834168486019 0.06017910012424223
12.568 0.2157514115473699 0.058487651717561685
12.592 0.20754299626103895 0.056982092129924326
12.616 0.19941046739543083 0.05569524291204052
12.64 0.19138012920861702 0.05465750475178508
12.664 0.18347234768502546 0.05388583817162541
12.688 0.17571960965674824 0.053375717174139595
12.712 0.16817516815674036 0.0530989520627531
12.736 0.16090959979012923 0.05300812674532557
12.76 0.15399778989890414 0.053045998656887174
12.784 0.1475023524189325 0.05315658281794743
12.808 0.14146019824306114 0.05329434889629778
12.832 0.13587702757194337 0.05342899160069788
12.856 0.13073100539456353 0.053545095657628584
12.88 0.12598328919910212 0.05363791678219241
12.904 0.12159081049141966 0.05370766157956826
12.928 0.11751654132433678 0.05375466747643721
12.952 0.11373424210732722 0.05377692527096776
12.976 0.11022738030265766 0.05377005769453756
13.0 0.1069842086322164 0.05372883571180917
13.024000000000001 0.10399195530241712 0.05364896038166231
13.048 0.1012325830831398 0.05352813416719702
13.072000000000001 0.09868122515964517 0.053366071506235166
13.096 0.09630705311359515 0.05316367252339143
13.120000000000001 0.09407555924839195 0.05292186683411667
13.144 0.09195114795026213 0.05264060670625785
13.168000000000001 0.08989928641404138 0.05231828472076028
13.192 0.08788793915733663 0.05195162874900977
13.216000000000001 0.08588838122527706 0.051535977535476785
13.24 0.0838756659842889 0.05106577912500702
13.264000000000001 0.08182901824865094 0.05053516155514364
13.288 0.07973228531492045 0.049938474354320216
13.312 0.07757439627613766 0.049270761970747215
13.336 0.07534965550610798 0.04852817567291915
13.36 0.07305769535354306 0.04770833865162929
13.384 0.07070302399959508 0.04681065479572392
13.408 0.06829424595351201 0.04583652159904548
13.432 0.06584311474832896 0.04478939978342043
13.456 0.06336356529123924 0.043674714800468764
13.48 0.06087080310005264 0.04249960333035277
13.504 0.05838046553094208 0.0412725473907392
13.528 0.05590785610458795 0.040002946218105746
13.552 0.05346727693473371 0.03870066622294896
13.576 0.05107150655522965 0.03737559666965864
13.6 0.04873146168331294 0.03603723398670788
13.624 0.04645604413153416 0.03469432017934617
13.648 0.044252133963895046 0.03335456245870956
13.672 0.042124671628569366 0.032024454948920304
13.696 0.04007678112335068 0.03070920913608024
13.72 0.03810991114933725 0.029412783332173422
13.744 0.03622399413890466 0.028137989359035064
13.768 0.034417633104259535 0.0268866500915158
13.792 0.032688323016904455 0.025659783554504725
13.816 0.031032703269033145 0.024457794842175855
13.84 0.02944682791801979 0.023280663153260495
13.864 0.02792643513471617 0.022128115933304014
13.888 0.026467197247884083 0.020999785061923012
13.912 0.025064936478807094 0.019895341610415875
13.936 0.02371579682475894 0.01881460654456906
13.96 0.022416367971421578 0.017757635371661494
13.984 0.02116376171243729 0.016724775431757915
14.008000000000001 0.01995564481790876 0.015716695431541753
14.032 0.01879023462459093 0.014734387913363903
14.056000000000001 0.01766626494267025 0.01377914657017937
14.08 0.01658293033864918 0.012852521545430004
14.104000000000001 0.015539816610203377 0.01195625696356025
14.128 0.014536824464601295 0.01109221578994632
14.152000000000001 0.013574092200173419 0.010262297606392879
14.176 0.012651921731685176 0.00946835493534711
14.200000000000001 0.011770710761863984 0.008712113328916013
14.224 0.010930892445698972 0.00799509959185132
14.248000000000001 0.010132882667273609 0.007318581321327985
14.272 0.009377034164578163 0.006683519557947462
14.296000000000001 0.008663596263673846 0.006090534920130265
14.32 0.00799267893183144 0.0055398863173886205
14.344 0.007364220183491593 0.005031460377435167
14.368 0.006777956473949717 0.004564769221113022
14.392 0.006233396455528772 0.004138954277602622
14.416 0.005729799193525113 0.0037527944883863676
14.44 0.005266158494357657 0.003404718451287225
14.464 0.0048411952661346095 0.003092821625674112
14.488 0.004453359741652724 0.0028148913037616403
14.512 0.004100844935667328 0.00256844311516354
14.536 0.0037816119339218997 0.0023507727430181428
14.56 0.003493426625297709 0.0021590248055257982
14.584 0.003233906429679642 0.0019902775015919866
14.608 0.0030005745933942667 0.0018416373825159722
