# Rg Avg-P(Rg) Err
8.536000000000001 2.416313995246743e-37 2.416313995246743e-37
8.56 7.348942036518561e-37 7.34894203651856e-37
8.584 2.2167904949582867e-36 2.216790494958287e-36
8.608 6.632136127590704e-36 6.632136127590705e-36
8.632000000000001 1.967939557574884e-35 1.9679395575748838e-35
8.656 5.79162223461733e-35 5.79162223461733e-35
8.68 1.6905166962601296e-34 1.6905166962601292e-34
8.704 4.894069164454864e-34 4.894069164454863e-34
8.728 1.4052474014041826e-33 1.4052474014041826e-33
8.751999999999999 4.001918078573579e-33 4.00191807857358e-33
8.776 1.1303605540187223e-32 1.1303605540187225e-32
8.8 3.1666487021646925e-32 3.1666487021646925e-32
8.824 8.798681317626497e-32 8.798681317626496e-32
8.847999999999999 2.4247715578550795e-31 2.4247715578550795e-31
8.872 6.627662111013564e-31 6.627662111013562e-31
8.896 1.7967470717034953e-30 1.7967470717034956e-30
8.92 4.831159483631258e-30 4.8311594836312576e-30
8.943999999999999 1.2884110776155795e-29 1.2884110776155795e-29
8.968 3.407979684951073e-29 3.4079796849510737e-29
8.992 8.940871637049748e-29 8.940871637049747e-29
9.016 2.326504529283536e-28 2.326504529283536e-28
9.040000000000001 6.004405447696303e-28 6.004405447696303e-28
9.064 1.5370184845430473e-27 1.5370184845430474e-27
9.088000000000001 3.902402592758782e-27 3.9024025927587806e-27
9.112 9.827202486776915e-27 9.827202486776915e-27
9.136000000000001 2.4545594998547092e-26 2.4545594998547092e-26
9.16 6.080846598815712e-26 6.080846598815711e-26
9.184000000000001 1.4941781362738393e-25 1.494178136273839e-25
9.208 3.641577858679259e-25 3.6415778586792583e-25
9.232 8.802920659396706e-25 8.802920659396706e-25
9.256 2.1106442501473766e-24 2.1106442501473766e-24
9.28 5.0194424502174846e-24 5.019442450217484e-24
9.304 1.183993344568718e-23 1.1839933445687176e-23
9.328 2.7701135124221874e-23 2.770113512422187e-23
9.352 6.428380916573808e-23 6.428380916573808e-23
9.376 1.4796623162655378e-22 1.479662316265538e-22
9.4 3.3781728504097977e-22 3.3781728504097977e-22
9.424 7.649986471278171e-22 7.64998647127817e-22
9.448 1.718305372348823e-21 1.7183053723488233e-21
9.472 3.8282675159822955e-21 3.828267515982295e-21
9.496 8.459951267595108e-21 8.459951267595108e-21
9.52 1.8543791520342904e-20 1.8543791520342907e-20
9.544 4.031770271788453e-20 4.031770271788453e-20
9.568 8.694830135820064e-20 8.694830135820064e-20
9.592 1.8599276920836034e-19 1.8599276920836037e-19
9.616 3.946410414917497e-19 3.9464104149174955e-19
9.64 8.305796815070052e-19 8.30579681507005e-19
9.664 1.7339433476519692e-18 1.733943347651969e-18
9.688 3.590581414143621e-18 3.5905814141436206e-18
9.712 7.375181301901848e-18 7.375181301901847e-18
9.736 1.5026592005612305e-17 1.5026592005612308e-17
9.76 3.0368968130457976e-17 3.0368968130457976e-17
9.784 6.08812069386963e-17 6.088120693869629e-17
9.808 1.2106598341530037e-16 1.2106598341530034e-16
9.832 2.3880791849052103e-16 2.38807918490521e-16
9.856 4.672670190782832e-16 4.672670190782832e-16
9.88 9.069294885607237e-16 9.069294885607239e-16
9.904 1.7461282918807633e-15 1.7461282918807629e-15
9.928 3.3348424508330623e-15 3.3348424508330627e-15
9.952 6.3179099386035176e-15 6.317909938603518e-15
9.976 1.1873341261141206e-14 1.1873341261141206e-14
10.0 2.21348426287066e-14 2.21348426287066e-14
10.024000000000001 4.093422246053352e-14 4.093422246053352e-14
10.048 7.509413478135946e-14 7.509413478135946e-14
10.072000000000001 1.3665883249318312e-13 1.366588324931831e-13
10.096 2.467087603567149e-13 2.467087603567149e-13
10.120000000000001 4.418243947211426e-13 4.4182439472114254e-13
10.144 7.849396564420937e-13 7.849396564420937e-13
10.168000000000001 1.3833996131492008e-12 1.3833996131492008e-12
10.192 2.4187295618626164e-12 2.418729561862616e-12
10.216000000000001 4.195260173376349e-12 4.1952601733763476e-12
10.24 7.218820074304291e-12 7.218820074304292e-12
10.264 1.232290938870431e-11 1.2322909388704311e-11
10.288 2.0869122820360242e-11 2.086912282036024e-11
10.312 3.50625444942796e-11 3.50625444942796e-11
10.336 5.844341417808697e-11 5.844341417808697e-11
10.36 9.664636127417047e-11 9.664636127417047e-11
10.384 1.5856171947933187e-10 1.585617194793319e-10
10.408 2.5809495508508373e-10 2.580949550850838e-10
10.432 4.1680675183270563e-10 4.168067518327057e-10
10.456 6.678364315161539e-10 6.678364315161539e-10
10.48 1.0616760932553674e-09 1.0616760932553674e-09
10.504 1.6745856969177341e-09 1.6745856969177344e-09
10.528 2.6207367438992613e-09 2.6207367438992613e-09
10.552 4.069563635784643e-09 4.069563635784642e-09
10.576 6.270309452340176e-09 6.270309452340175e-09
10.6 9.586401341980256e-09 9.586401341980256e-09
10.624 1.4543105878294346e-08 1.4543105878294348e-08
10.648 2.1892922339238626e-08 2.1892922339238626e-08
10.672 3.270439523324561e-08 3.270439523324561e-08
10.696 4.8481484469544004e-08 4.848148446954401e-08
10.72 7.132233120698366e-08 7.132233120698368e-08
10.744 1.0412819507241374e-07 1.0412819507241376e-07
10.768 1.5087549147659027e-07 1.5087549147659027e-07
10.792 2.1696618078068973e-07 2.169661807806897e-07
10.816 3.096741819011608e-07 3.0967418190116075e-07
10.84 4.3870789996081106e-07 4.3870789996081085e-07
10.864 6.16911239343872e-07 6.169112393438717e-07
10.888 8.611274615318471e-07 8.611274615318463e-07
10.912 1.1932517628812194e-06 1.1932517628812177e-06
10.936 1.6414993042653912e-06 1.6414993042653853e-06
10.96 2.2419154440775207e-06 2.241915444077502e-06
10.984 3.040153960649345e-06 3.0401539606492884e-06
11.008000000000001 4.093547007748976e-06 4.093547007748806e-06
11.032 5.4734874187760305e-06 5.47348741877553e-06
11.056000000000001 7.268139862530577e-06 7.268139862529137e-06
11.08 9.58549248821776e-06 9.585492488213663e-06
11.104000000000001 1.2556755456035251e-05 1.2556755456023792e-05
11.128 1.634010765225983e-05 1.6340107652228314e-05
11.152000000000001 2.112478858065929e-05 2.112478858057404e-05
11.176 2.7135529641400613e-05 2.7135529641173784e-05
11.200000000000001 3.463731852423191e-05 3.46373185236383e-05
11.224 4.394049298451633e-05 4.3940492982988276e-05
11.248 5.540616644453942e-05 5.540616644067013e-05
11.272 6.945199806284718e-05 6.945199805320934e-05
11.296 8.65583342470033e-05 8.655833422338777e-05
11.32 0.00010727476681217279 0.00010727476675524837
11.344 0.00013222717450796494 0.00013222717437297692
11.368 0.00016212533851109467 0.00016212533819617267
11.392 0.000197771247512864 0.00019777124679003295
11.416 0.0002400682328853719 0.0002400682312530225
11.44 0.0002900310977799629 0.0002900310941529493
11.464 0.00034879742478815265 0.00034879741685833016
11.488 0.0004176402642245208 0.00041764024716465457
11.512 0.0004979824188753909 0.0004979823827587972
11.536 0.0005914125513540583 0.0005914124761086957
11.56 0.0006997033475073758 0.0006997031932239576
11.584 0.0008248319741775704 0.0008248316628250286
11.608 0.0009690030722256509 0.0009690024537691968
11.632 0.0011346745253436772 0.0011346733160754188
11.656 0.0013245862395952232 0.0013245839118774059
11.68 0.0015417921535192383 0.001541787742140192
11.704 0.0017896956672249751 0.0017896874352728636
11.728 0.002072088621788325 0.0020720734941669997
11.752 0.0023931938657214837 0.002393166485259157
11.776 0.002757711300124212 0.0027576624815124195
11.8 0.0031708670850945564 0.003170781324624679
11.824 0.003638465405827623 0.0036383169354223524
11.848 0.004166941830891907 0.004166688464090129
11.872 0.00476341684823849 0.004762990528838194
11.896 0.005435747647782113 0.005435040147317088
11.92 0.006192575656952746 0.006191417235887247
11.944 0.007043366765794217 0.0070414947679543075
11.968 0.007998440653142664 0.00799545388916345
11.992 0.009068985208189955 0.009064278544447614
12.016 0.01026705180001632 0.01025972355346448
12.040000000000001 0.011605527144332677 0.011594249661463232
12.064 0.01309807779747015 0.013080918983480926
12.088000000000001 0.01475906388807571 0.014733244543683782
12.112 0.016603419551062273 0.01656498837574308
12.136000000000001 0.018646498584008225 0.018589903967409
12.16 0.02090388499250664 0.02082142075145388
12.184000000000001 0.023391169205047406 0.023272270876370037
12.208 0.026123691740999554 0.02595406158748896
12.232000000000001 0.029116257064879837 0.028876800083984397
12.256 0.03238282156368979 0.03204838144873599
12.28 0.03593616163679125 0.03547405381239406
12.304 0.039787531390587785 0.039155877892379426
12.328 0.04394632404104522 0.04309220021310431
12.352 0.04841975391247673 0.04727716106490868
12.376 0.05321257019423316 0.05170026098845882
12.4 0.05832679126008061 0.0563460152008283
12.424 0.06376140875454835 0.06119373419340902
12.448 0.06951197413451485 0.06621747582255891
12.472 0.07556999331874209 0.07138620763238494
12.496 0.08192216790887362 0.0766641839207657
12.52 0.08854973550713974 0.08201147798696283
12.544 0.09542838052760429 0.0873845399947915
12.568 0.10252923340407535 0.09273662296801695
12.592 0.1098212032025045 0.09801797827923416
12.616 0.11727431993099949 0.10317587148122942
12.64 0.12486313957485444 0.1081546557768933
12.664 0.1325689403921262 0.11289626978032756
12.688 0.1403796976191827 0.1173414993203349
12.712 0.1482877454437285 0.12143209507665079
12.736 0.15628642344493454 0.12511339437065108
12.76 0.1643683252379509 0.12833664073286033
12.784 0.17252817578687757 0.13106006921147925
12.808 0.1807720586772879 0.13324834222163498
12.832 0.1891316404053402 0.13487105848344133
12.856 0.19767844225221856 0.13590230744023923
12.88 0.20653130413627768 0.1363238341815675
12.904 0.21585176246468415 0.1361337541622985
12.928 0.22582693925826614 0.1353609477267428
12.952 0.23664514364512446 0.1340830233481509
12.976 0.24847217871337451 0.13244420556426925
13.0 0.2614343254874528 0.1306692386567453
13.024000000000001 0.27560848625279466 0.12906937389319653
13.048 0.2910150853488273 0.12803473190072784
13.072000000000001 0.3076087340728373 0.12800394376896632
13.096 0.3252654029166685 0.12940230344549583
13.120000000000001 0.34376915886555226 0.13255132085932508
13.144 0.362802673783219 0.13757393141991736
13.168000000000001 0.381944092989053 0.144332646748367
13.192 0.40067256546048124 0.15242584398647216
13.216000000000001 0.4183881157925097 0.16124063190433718
13.24 0.4344546645115166 0.1700446056704183
13.264000000000001 0.44827048315763685 0.17809808446971373
13.288 0.45935602466158254 0.18476837240414204
13.312 0.46743329937658756 0.18962234067551673
13.336 0.47246733185111933 0.19247338105942086
13.36 0.4746548792124101 0.19337253759610992
13.384 0.47436993092020774 0.1925557577937913
13.408 0.47209252227595455 0.19037425253685245
13.432 0.4683463324105423 0.18723289180869762
13.456 0.46365586930145897 0.18354697465326061
13.48 0.4585200275464073 0.17971418810525708
13.504 0.45339549870407414 0.17609512730893162
13.528 0.4486882790605412 0.1729995514623592
13.552 0.44475386675242223 0.17067771971669685
13.576 0.4419007255862046 0.16931324625258648
13.6 0.4403828394787895 0.16901164063795543
13.624 0.4403675307031107 0.1697833803864589
13.648 0.44187980837411434 0.17152897920603627
13.672 0.44474630969252527 0.17403667427396677
13.696 0.4485735656389832 0.17699824327977
13.72 0.4527848676338507 0.1800418032360121
13.744 0.4567112055308827 0.1827766920173224
13.768 0.4597028767511849 0.1848418339021655
13.792 0.4612190501345765 0.18594500943273
13.816 0.4608687600596312 0.18588227449272793
13.84 0.4584060949337975 0.18453661039329255
